BABAKAN CIREBON,15500,27000
BALIKPAPAN,30000,36000
BANDUNG,9000,20000
BANDUNG BARU KEBAWETAN KEPAHIANG,33500,
BANDUNG KONANG BANGKALAN,61500,
BANDUNG TULUNGAGUNG,37500,
BANDUNGAN SEMARANG,23500,35000
BANDUNGREJO MRANGGEN SRG,13000,20000
BANGET KALIWUNGU KDS,19000,28000
BANGGAE MAJENE,33000,
BATAM,41000,
BEKASI,7000,15000
BELATUNG LUBUK BATANG OKU,35500,
BELAWAN BAHAGIA MEDAN BELAWAN KOTA,38000,
BELAWAN BAHARI MEDAN BELAWAN KOTA,38000,
BELAWAN MEDAN BELAWAN KOTA,38000,
BELAWAN SICANANG MEDAN BELAWAN KOTA,38000,
BELENDUNG KLARI KRW,11500,22000
CIAMIS TSM,21000,31000
CIAMPEA BGR,10000,26000
CIAMPEL KRW,12000,22000
CIANDAM MANDE CIANJUR,18000,
CIANGIR LEGOK TGR,8500,20000
CIANJUR,11000,21000
DATAR DAYEUHLUHUR CXP,35000,
DATAR MAYONG JEPARA,27500,
DATUK BANDAR TANJUNG BALAI,33000,
DATUK BANDAR TIMUR TANJUNG BALAI,40000,
DAU MXG,20000,30000
DENPASAR,17000,22000
GADOG PACET CIANJUR,20000,34000
GAGA PAKUHAJI TGR,10000,24000
GAJAH DEMAK,25500,
GAJAH MATI SUNGAI LILIN MUBA,36000,
GAJAH MERANTI ASAHAN,58000,
GAJAHMEKAR KUTAWARINGIN BDO,15500,31000
HATUNGUN TAPIN,37500,
HAUNATAS II LAGUBOTI TOBA SAMOSIR,57500,
HAUR GADING HSU,45500,
HAURGEULIS INDRAMAYU,25000,39000
HAURKUNING PASEH BDO,20000,
HAURPUGUR RANCAEKEK BDO,20500,37000
HAURWANGI CIANJUR,20000,
HAWANG LIMPASU HST,39000,
HAYAHAYA LIMBOTO BARAT GTO,45500,
JAKARTA,6000,13000
JAMBI,17000,22000
JAMBI KECIL MARO SEBO MUARO JAMBI,115500,
JAMBLANG CIREBON,13500,27000
JAMBON PONOROGO,27000,37000
JAMBU BURNEH BANGKALAN,42500,
JOGJAKARTA,13000,20000
KALENG PURING KEBUMEN,26000,41000
KALI BENING TUGUMULYO MUSI RAWAS,40000,
KALI BUMI (NBX),99500,
KALI BUNDER SUKABUMI,18500,
KALI HARAPAN (NBX),98000,
KALI JAYA CIKARANG BARAT BKI,166000,
KALI NILAM DELTA PAWAN KETAPANG,34000,
KALI NONA (NBX),96500,
KALI PITU TOBELO TENGAH,61000,
KALI SUSU (NBX),96500,
KALI UPA TOBELO TENGAH,61000,
KALIABU SALAMAN MAGELANG,24500,38000
KALIANDA LAMPUNG SELATAN,16500,
KALIANGET SUMENEP,85000,
KALIANGKRIK MAGELANG,27000,45000
KALIANYAR KEDUNG JEPARA,27500,
KALIANYAR PANGURAGAN CIREBON,20000,33000
KALIBAGOR BANYUMAS,26000,33000
KALIBANGKANG AYAH KEBUMEN,31000,
KALIBARU BWI,33000,
KALIBARU PAKUHAJI TGR,10000,24000
KALIBENING BANJARNEGARA,40000,
KALIBOBO (NBX),100500,
MOJOGEDANG KARANGANYAR,20000,31000
MOJOLABAN SUKOHARJO,20000,29000
MOJOREJO JUNREJO BATU,20500,32000
MOJOSARI MOJOKERTO,30000,
MOJOSONGO BOYOLALI,20000,31000
MOJOTENGAH WONOSOBO,35500,
MOJOWARNO JOMBANG,30500,
NANGA KALIS KALIS KAPUAS HULU,45500,
NANGA KEBERAK BELIMBING HULU MELAWI,43000,
NANGA MENTEBAH MENTEBAH KAPUAS HULU,54500,
NANGA MENUNUK BELIMBING MELAWI,39000,
PADANG,18000,25000
PADANG BANGKAL SUNGAI PANDAN HSU,52000,
PADANG BARU PANGKALAN BARU BANGKA TENGAH,17000,
SUKAGALIH JONGGOL BGR,11000,36000
SUKAGUMIWANG INDRAMAYU,20000,33000
SUKAHAJI MAJALENGKA,23000,
WAJO,31500,
WAJOK HILIR SIANTAN PNK,26500,
WAJOK HULU SIANTAN PNK,26500,
WALEA BESAR TOJO UNA-UNA,51000,
WATES KEDIRI,37000,
WATES UNDAAN KDS,20000,
WATOPUTE MUNA,60500,
YOBEH SENTANI DJJ,84000,
